Name,Year,Financial,Creative,Publisher,Indie?,Why?
Hero-U: Rogue to Redemption,2019,0,0,1,Yes,"Transolar. Self developed and published. Financiados via Kickstarter. Equipe foi contratada por uma casal de game designer, nem todo mundo estava fazendo o jogo pq gostava: ""The Coles had kicked around the idea of building a text adventure, but decided that they needed graphics. Other oldschool adventure game developers were taking to Kickstarter to launch their own studios; this was how Broken Age, Moebius, and Leisure Suit Larry Reloaded were funded. Fulfilling this project, though, required building a team."""
Indigo Prophecy,2006,?,1,0,#VALUE!,"Quantic Dream / Atari. ""Explaining the concept of an original game with no real prior references is a major difficulty that must not be underestimated."""
Jak and Daxter,2002,0,0,0,No,"Naughty Dog / Sony. Triple-A. Creative: ""We encountered more than a few major bumps in the road, and there were times when the project seemed like an insurmountable uphill battle, but we managed to create a game that we are quite proud of, and we learned several important lessons along the way. """
Jetpack High,2014,1,1,1,Yes,Self developed and published
Jurassic Park: Operation Genesis,2003,?,0,0,#VALUE!,"Blue Tongue / Universal. Creative: ""Our publisher, Universal Interactive, wanted Operation Genesis to be different. Instead of asking the player to destroy and survive dinosaurs, they wanted to give players the opportunity to create and manage their own Jurassic Park."""
Kingdoms of Amalur: Reckoning,2013,0,1,0,Yes,"38 Studios / EA. Creative: ""Some publishers want to be too involved in the day-to-day development decisions. Other publishers will go to the opposite extreme and remain silent milestone after milestone until your game hits Alpha, at which point they suddenly have issues with things that have been final for months, like the art style or specific gameplay systems. Fortunately, the EAP production crew was neither of those types of publishers. "". Funding: ""Financed in part by a loan from the state of Rhode Island, Reckoning is also a fairly unique case of a triple-A game built with the help of alternative funding"""
Kleptocats,2017,?,1,1,#VALUE!,"HyperBeard. Creative: ""Disappointed with the state of the development he asked us if we had something that could be done before March, the official closing date of the branch. We remembered the cat idea and with a frown on his face he let us make it. After the first iterations, he was super happy with the project. I make him seem like an asshole but really he’s not so bad (he made me add this part)."""
Knightly Adventure,2013,?,1,1,#VALUE!,Pangalore.
Last Call,2001,0,1,1,Yes,"Cutler Creative. Self developed and published. Financial: ""Our budget, $100,000, would have covered our programmer's fee had he not worked on spec, but was stretched ( with the addition of a $30,000 loan), to employ over 20 individuals. When taken into context, Last Call was a labor of love, learning experience, and major achievement."""
Leaving Lyndow,2017,1,1,1,Yes,Self developed and published
Legacy Online,2003,0,1,0,Yes,"Oceanus / Monte Cristo. Financial: ""2 million Canadian dollars. (...) We needed to assign some of the team members to outside consulting work in order to generate revenue. At times, some key developers of Star Peace had to be deployed for long periods of time in these side jobs, because it was particularly suitable to their skills."" - They don't specify if this is self funded, but it looks a lot for a couple of students to raise back at the time. I think it came from the publisher. Creative: ""While the initial development work was underway (working on a virtual Internet simulated through the LAN of their university), the group managed to pitch their idea to a Canadian working with a professor at their university and Oceanus Communications was born."""
Lords of the Fallen,2015,?,?,0,#VALUE!,Deck13 / Bandai
Lost Within,2015,1,1,1,Yes,Developed and published by Amazon Game Studios
Lume,2012,1,1,1,Yes,"State of Play. Funding: ""Budget: n/a (worked on in spare time around other client projects)"""
Magicka,2011,?,0,0,#VALUE!,"Arrowhead / Paradox. Criatividade vs. deadlines: ""In the future I would hope that the games industry evolves to become more flexible, and realize that the creative part of the process won't conform to deadlines."""
Marathon 2: Durandal,2007,0,0,0,No,Remake/port of an old triple-A by Bungie
Matt Hazard: Blood Bath and Beyond,2010,?,1,0,#VALUE!,"Vicious Cycle / D3. Equipe conseguiu desenvolver ""do seu próprio jeito"" até certo ponto: ""We were determined to make it work and deliver on what we initially set out to do. Fortunately for us, we had available resources to pile on the project in order get the game done to our level of satisfaction. """
Meganoid,2017,1,1,1,Yes,"Orangepixel. Sobre a parte criativa: ""For me it was a turning point in my games as I finally decided to just build games like that since those are the games I love the most. Luckily I found a niche that works for me and an audience that has been growing alongside me and my games. "". Sobre financiamento: ""Seeing as my games are actually my livelihood, money needs to come in on a semi-frequent basis. My business is still running fairly well, I have a huge back-log of games and they are all still bringing in money on a monthly base"""
Middle-earth: Shadow of Mordor,2015,0,0,0,No,Dev had experience with triple-A; published by Warner
Mini Metro,2016,1,1,1,Yes,Self developed and published
Monsters (Probably) Stole My Princess,2011,?,1,0,#VALUE!,"Mediatonic / Sony. Creative: ""Monsters (Probably) Stole My Princesswas a hit for Mediatonic. (...) This really helped us establish ourselves on the growing UK boutique studio scene and promotes our creative freedom as being a core asset of the company."""
MotoGP 06,2006,?,0,0,#VALUE!,"Climax / THQ. ""We learnt a lot from making MotoGP and we got some things right and other things wrong, but the acid test is always the reaction from the journalists and public. """
MotoGP 07,2007,?,0,0,#VALUE!,Climax / THQ. Mesmo caso do MotoGP 06.
Music Up,2002,1,0,1,Yes,"Ubisoft China. Self developed and published. Creative: ""In January 2001, the right incentive to motivate UBI China to try a local project finally arrived. Shanghai Animation Film Producer, the leading local animation film studio, came to UBI Shanghai with the writes to “Music Up”."""
Myth: The Fallen Lords,1998,?,1,1,#VALUE!,"Bungie. Self-developed and published in the US, Eidos published it in Europe."
Natural Selection 2,2013,1,1,1,Yes,"Self developed and published, started as a mod"
Never Alone,2015,?,1,1,#VALUE!,Self developed and published
Neverwinter Nights,2002,0,1,0,Yes,"BioWare/Infrogrames. Creative: ""Early in BioWare's development of Baldur's Gate it became clear to us how the evolution of the role-playing game genre would unfold. We saw the explosion of fan-created content for first-person shooters and we rationalized that the role-playing genre was ready for a similar renaissance"""
NFL RUSH Heroes and Rivals,2015,?,0,1,#VALUE!,"Developed and published independently, but after a deal with NFL"
No One Lives Forever,2001,0,0,0,No,"Monolith / Fox. Financial: ""It wasn't until some time after we had a signed contract until we had a stable team. (...) Part of the problem owed to our publisher woes. On two separate occasions, what was effectively the cancellation of the project resulted in our not being able to hire people we were planning to bring aboard. Without funding for the game lined up, it made no sense to bring on new employees"". Creative: ""During this interval, the project mutated constantly in order to please prospective producers and marketing departments"""
Nom 2,2006,1,1,1,Yes,Self developed and published
NyxQuest Kindred Spirits,2010,1,1,1,Yes,Over The Top Games. Self developed and published.
Oasis,2005,?,1,0,#VALUE!,"MindControl / PlayFirst. ""He didn’t think that the game would be commercially viable, but he said he’d be the first to play it if it was available. """
Offworld Trading Company,2016,?,1,0,#VALUE!,Mohawk / Stardock
Okamiden,2011,?,1,1,#VALUE!,"Capcom. Creative: ""Also, by creating an environment that allows everyone to speak freely about what they think about the game, the team would be able to input their own ideas and feel as though they are contributing something to the project. Had the teams been under such management, they would have performed without a problem through simple schedule management and direction""."
Operation Flashpoint Cold War Crisis,2001,0,0,0,No,Before indie timeframe;
Ori and the Blind Forest,2015,?,?,0,#VALUE!,Moon / Microsoft
Out There,2015,1,1,1,Yes,Self developed and published
Outrealm,2018,1,1,1,Yes,"Nick Thandi. Jogo inteiro é trabalho de 1 pessoa que fez todo o processo. Não especifica origem do funding, mas no caso de ""1 man games"" considero que foi self-funded"
Pixeljunk 4am,2013,?,1,0,#VALUE!,"Q-Games / Sony. Creative: ""Our U.S. publisher Sony Santa Monica was also super supportive despite the amount of wild new design that 4am was pushing. The faith (and massive balls of steel!) of these fine people is what ultimately allowed us to release a unique experience that will hopefully be remembered fondly for a long time by its players."""
PONCHO,2017,0,1,0,Yes,"Delve / Rising Star. Funding: ""We got funded for slightly less than what we asked for in our kickstarter, but we were funded."". Creative: ""We did have much higher offers, but turned them down since other publishers asked if they could change the game."""
Pressure Overdrive,2018,?,1,1,#VALUE!,Chasing Carrots. Não especifica origem do funding.
Project Gotham Racing 3,2005,?,0,0,#VALUE!,"Bizarre / Microsoft, who owns the franchise"
Prune,2015,1,1,1,Yes,Self developed and published
Race the Sun,2015,1,1,1,Yes,Self developed and published
Rainbow Six,2000,?,1,1,#VALUE!,"Red Storm. Self developed and published. Financial: ""In retrospect, we would have saved money and had a much smoother development process if we’d bitten the bullet early on and committed ourselves to building our own technology base"""
Ratchet & Clank,2016,0,0,0,No,Remake of an old triple-A
Red Skies,2016,1,1,1,Yes,"Grhyll JDD. Funding: ""I’m not rich by now. However, it was far from being my goal. Some might find it odd, but it was merely an attempt to see if I could develop a complete game on my own (and with the help of an artist – and a sound designer for the last weeks), from concept to release and marketing, and see what I could learn in the process for future games."""
Renegade Ops,2016,0,1,0,Yes,"Avalanche / Sega. Creative: ""We wanted to find an approach that naturally let 'fun' be the main factor of all decisions."" and ""In the midst of this battle, I was working on a particularly annoying bug -- when suddenly, I was called into a meeting... ""Hey guys! How would you feel about getting started on a new project? Sega is interested in seeing a concept pitch for an XBLA/PSN/STEAM game with an original IP, using our engine. What do you say?"""
Renowned Explorers,2012,1,1,1,Yes,"Abbey Games. Financial: ""We were on the brink of accepting our fate, where we would either have to wrap things up or look for loans and funding."""
Republique,2016,1,1,0,Yes,Camouflaj / GungHo
Resident Evil 2 (N64),2000,1,1,1,Yes,Capcom. Self developed and published. PM describes a port.
Resident Evil 4,2013,1,0,1,Yes,Capcom Prod. Studio 4 / Capcom (publisher é dona do estúdio)
Riptide GP,2011,0,1,1,Yes,Vector Unit.
Rise of Nations,2003,?,1,0,#VALUE!,"Big Huge / Microsoft. Creative: ""When we asked them which of our five proposals they were most interested in, they just asked us which game we'd be most interested in making. They seemed more interested in the team than in the specific proposal, which in our experience is a great approach to produce topquality games."""
RoboBlitz,2007,?,1,1,#VALUE!,"Naked Sky. Não fica claro se o funding dependeu de investidores externos: ""Because we decided to go the self-funding route, we didn’t enter full production until November 2005, after raising private funding and getting an office. """
Robothorium,2019,?,?,0,#VALUE!,"Goblinz. Publisher: ""Published by WhisperGames in all regions of China, Taiwan, Macao (...)"". Pouca info sobre liberdade criativa/financiamento"
RocketBowl,2005,1,1,1,Yes,"LargeAnimal / GarageGames; self-funded, ""If a publisher had funded the game, we wouldn't have had the luxury of spending as much time polishing as we did."""
Rollers of the Realm,2014,0,1,0,Yes,"Phantom Compass / Sega. Funding: ""Bolstered by the interest and encouragement from that first GDC showing, we decided to pursue production funding from two major Canadian funds, the CMF Experimental program and the OMDC Interactive Digital Media Fund."" Creative: ""Our mission was to bring both sides together in creating a small game for Xbox Live Indie Games -- a six-month project where we could learn from each other, provide our triple-A friends with a unique portfolio piece, and shift Phantom Compass into high gear. We took a big risk in combining two distinct teams and fittingly chose an unlikely mash-up of pinball and roleplaying games. """
Romeo and Juliet,2005,1,1,1,Yes,"Student game, never released"
Sanitarium,1998,0,1,0,Yes,"DreamForge / ASC. Financial: ""They [ASC Games] behaved as if they were buying into our vision rather than just purchasing it."", Creative: ""Our publisher, ASC Games, believed in what we were trying to accomplish and provided valuable input throughout development. They behaved as if they were buying into our vision rather than just purchasing it. For the most part, they took a hands-off approach, and only required changes that they were convinced would significantly improve the quality and salability of the game """
Scarface: The World Is Yours,2007,?,1,0,#VALUE!,"Radical / Vivendi. "" Everyone involved, being huge fans of the license, made sure that they kept themselves under enough pressure to get this game sounding the best it could all the way through the project."""
Schizoid,2008,1,1,0,Yes,"Torpex / Microsoft. Financial: ""Schizoid was entirely self-funded; Bill and I were the only people who put money into the game."""
Scooby-Doo! First Frights,2010,?,1,0,#VALUE!,"Torus / Warner. Liberdade criativa: ""It's not often that a license owner of a highly valued IP allows a developer as much creative freedom as we had with Scooby-Doo! First Frights."""
SCSIcide,2003,1,1,1,Yes,Pixels Past. Self developed and published.
Shadow Tactics: Blades of the Shogun,2017,1,1,0,Yes,"Mimimi / Daedelic. Creative: ""It should also be noted that Daedalic, while regularly giving valuable feedback, never had any creative control over our game – we basically were free to do whatever we wanted."". Funding: ""Daedalic Entertainment, our publisher, was able to extend the timeline, allowed us to cancel all planned DLC-levels, and fund another, fourth, month. """
Sheep It Up,2018,1,1,1,Yes,Catskull. Jogo inteiro é trabalho de 1 pessoa que fez todo o processo.
Sin,1999,0,1,0,Yes,"Ritual / Activision. Financial: ""Project budget: $2 million"". Creative: ""Conversely, in the Attila the Hun approach, the entire group is given equal input and has equal weight in most decisions. We opted for the tribal approach because it offers the greatest pool of ideas from which to dip and it adds a certain synergy to the whole of the game’s design. """
Sins of a Solar Empire,2008,0,0,0,No,"Ironclad / Stardock. Não fica clara a origem do funding: ""We knew from the start that switching engines or making major overhauls was out of scope for the time and budget we had to work with """
Sins of a Solar Empire: Rebellion,2012,0,0,0,No,Ironclad / Stardock
Skittleball,2010,1,1,1,Yes,Magnin & Associates. Self developed and published.
"Slow Down, Bull",2015,1,1,1,Yes,"Developed and published by Insomniac, but with creative freedom"
Solatorobo Red the Hunter,2012,?,0,0,#VALUE!,"CyberConnect2 / Bandai. Creative: ""Unfortunately, Tail Concerto, which shares the same world view [as Solatorobo], came short of expectations for sales figures. This was something that hindered the approval of Solatorobo's concept. To overcome the weak points with Tail Concerto, we created massive amounts of assets, generating multiple concept documents, each time refining the world and settings to create a game with a very deep story and a detailed world view that even a mature audience could enjoy, and eventually were able to get the green light from our client."""
Soldier of Fortune,2000,0,0,0,No,"Raven / Activision. Financial: ""Budget: Multi-million-dollar budget"". Creative: ""With a full team ready and willing to go, we needed a project and we needed one fast. It was then that Activision handed us the Soldier of Fortune license."""
SpaceChem,2012,1,1,1,Yes,"Zachtronics. Funding: ""Although it's not as sexy as full-time independent game development, most of the people who worked onSpaceChem did so in their spare time while holding full-time jobs outside of the games industry. This allowed us to rely almost entirely on profit sharing for compensation.(...) Budget: $4,000 and lots of free time"""
SpecOps: Rangers Lead the Way,2000,0,0,0,No,"Zombie / Ripcord. Financial: ""On the up side, there was a healthy budget."". Creative: ""Management was, um, very insistent on meeting the Christmas deadline, so we had to build the best game we could in the available time. """
SpellCraft School of Magic,2012,?,1,1,#VALUE!,Appy.
Spider-Man,2013,?,0,0,#VALUE!,"Treyarch / Activision. Creative: ""We agreed to do a game that would tie in with the Spider-Man movie, and release it simultaneously on all three of the next-generation consoles: Playstation 2 (PS2), Xbox, and Gamecube. We formed a new team out of parts of the others to begin work on the proof-of-concept and design. This team of four programmers, four designers, four artists, and a producer wasn't starting totally from scratch; we had Activision's previous Spider-Man game for the Playstation (PSX) to look at"""
Splinter Cell,2003,1,1,1,Yes,Ubisoft. Self published and developed. Port work from Xbox to PS2.
Splosion Man,2009,1,1,1,Yes,Twisted Pixel. Self developed and published..
Sportsfriends,2014,0,1,1,Yes,Die Gute Fabrik. Funded by Kickstarter.
Star Chamber,2004,1,1,1,Yes,"Nayantara Studios. Self developed and published. Financial: ""Combining an online CCG with a 4X turn-based strategy game screams niche market, which resulted in Star Chamber being self-funded and self-published. """
